Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P100521,0,0,0,1,1,1,1,1,1
A_15_P100524,0,0,0,1,1,1,1,1,1
A_15_P100531,0,0,0,1,1,1,1,1,1
A_15_P100533,0,0,0,1,1,1,1,1,1
A_15_P100535,0,0,0,1,1,1,1,1,1
A_15_P100537,0,0,0,1,1,1,1,1,1
A_15_P100538,0,0,0,1,1,1,1,1,1
A_15_P100539,0,0,0,1,1,1,1,1,1
A_15_P100541,0,0,0,1,1,1,1,1,1
A_15_P100542,0,0,0,1,1,1,1,1,1
A_15_P100543,0,0,0,1,1,1,1,1,1
A_15_P100544,0,0,0,1,1,1,1,1,1
A_15_P100548,0,0,0,1,1,1,1,1,1
A_15_P100553,0,0,0,1,1,1,1,1,1
A_15_P100555,0,0,0,1,1,1,1,1,1
A_15_P100558,0,0,0,1,1,1,1,1,1
A_15_P100559,0,0,0,1,1,1,1,1,1
A_15_P100560,0,0,0,1,1,1,1,1,1
A_15_P100561,0,0,0,1,1,1,1,1,1
A_15_P100562,0,0,0,1,1,1,1,1,1
A_15_P100565,0,0,0,1,1,1,1,1,1
A_15_P100568,0,0,0,1,1,1,1,1,1
A_15_P100569,0,0,0,1,1,1,1,1,1
A_15_P100570,0,0,0,1,1,1,1,1,1
A_15_P100571,0,0,0,1,1,1,1,1,1
A_15_P100573,0,0,0,1,1,1,1,1,1
A_15_P100574,0,0,0,1,1,1,1,1,1
A_15_P100577,0,0,0,1,1,1,1,1,1
A_15_P100578,0,0,0,1,1,1,1,1,1
A_15_P100579,0,0,0,1,1,1,1,1,1
A_15_P100585,0,0,0,1,1,1,1,1,1
A_15_P100588,0,0,0,1,1,1,1,1,1
A_15_P100592,0,0,0,1,1,1,1,1,1
A_15_P100596,0,0,0,1,1,1,1,1,1
A_15_P100597,0,0,0,1,1,1,1,1,1
A_15_P100598,0,0,0,1,1,1,1,1,1
A_15_P100599,0,0,0,1,1,1,1,1,1
A_15_P100603,0,0,0,1,1,1,1,1,1
A_15_P100604,0,0,0,1,1,1,1,1,1
A_15_P100606,0,0,0,1,1,1,1,1,1
A_15_P100609,0,0,0,1,1,1,1,1,1
A_15_P100612,0,0,0,1,1,1,1,1,1
